borough_code,neighborhood,zipcode,land_square_feet,gross_square_feet,sale_price,community_district,school_district,floor_area_total_building,floor_area_residential,maximum_allowable_residential_far,x_coordinate,y_coordinate
4,BAYSIDE,11361,4000.0,2175.0,980000.0,411,26,2175,1450,0.5,1050193,218680
4,BAYSIDE,11360,4100.0,1825.0,970000.0,411,26,1825,1043,0.5,1044875,222113
4,BAYSIDE,11360,4748.0,2220.0,1050000.0,411,26,2220,1480,0.5,1047927,221939
4,BAYSIDE,11360,9000.0,1805.0,1387500.0,411,26,1805,1805,0.5,1047633,221722
4,BAYSIDE,11361,4350.0,2352.0,835000.0,411,26,2352,1344,0.5,1050550,218250
4,BAYSIDE,11361,4320.0,2265.0,1250000.0,411,26,2265,1470,0.5,1050136,218898
4,BAYSIDE,11360,4000.0,1248.0,931000.0,411,26,1248,1248,0.5,1045612,222020
4,BAYSIDE,11360,7021.0,2700.0,2400000.0,411,26,2700,2700,0.5,1047141,223158
4,BAYSIDE,11361,6000.0,3944.0,2088000.0,411,26,3944,3944,0.5,1050159,219265
4,BAYSIDE,11360,5914.0,3000.0,1960000.0,411,26,3000,3000,0.5,1047527,221544
4,BAYSIDE,11361,3000.0,1906.0,805000.0,411,26,1906,1406,0.5,1046748,219420
4,BAYSIDE,11361,1920.0,1040.0,604000.0,411,26,1040,1040,0.5,1046625,220717
4,BAYSIDE,11361,2800.0,1436.0,795000.0,411,26,1436,1436,0.5,1048649,219683
4,BAYSIDE,11361,4000.0,1728.0,999988.0,411,26,1728,1728,0.5,1050888,217509
4,BAYSIDE,11360,3750.0,1886.0,910000.0,411,26,1886,1000,0.5,1046847,221878
4,BAYSIDE,11364,5136.0,1325.0,920000.0,411,26,1325,1325,0.5,1052826,214309
4,BAYSIDE,11364,4600.0,1440.0,920000.0,411,26,1440,1440,0.5,1053145,214588
4,BAYSIDE,11364,4800.0,1175.0,850000.0,411,26,1175,1175,0.5,1053893,214519
4,BAYSIDE,11364,4000.0,1100.0,800000.0,411,26,1100,1100,0.5,1053620,214465
4,BAYSIDE,11364,6135.0,1391.0,900000.0,411,26,1391,1391,0.5,1052422,214534
4,BAYSIDE,11364,4600.0,1100.0,856000.0,411,26,1100,1100,0.5,1053275,214334
4,BAYSIDE,11364,6000.0,1390.0,957000.0,411,26,1390,927,0.5,1053381,215064
4,BAYSIDE,11364,4600.0,1440.0,928000.0,411,26,1440,1440,0.5,1053218,214644
4,BAYSIDE,11364,4500.0,1391.0,960000.0,411,26,1391,1391,0.5,1052918,214510
4,BAYSIDE,11364,5000.0,1424.0,920000.0,411,26,1424,1424,0.5,1053192,215420
4,BAYSIDE,11364,4600.0,1391.0,809000.0,411,26,1391,1391,0.5,1052698,214470
4,BAYSIDE,11364,5472.0,1325.0,870000.0,411,26,1325,1325,0.5,1052780,214295
4,BAYSIDE,11364,6000.0,2280.0,990000.0,411,26,2280,1520,0.5,1052634,215306
4,BAYSIDE,11364,6365.0,2017.0,1250000.0,411,26,2017,1345,0.5,1052945,214916
4,BAYSIDE,11364,9975.0,2319.0,1200000.0,411,26,2319,1546,0.5,1052962,215187
